"","retweeter","retweeted"
"63858","JohnSeney","fightfor15"
"63859","shan_miramontez","350"
"63860","JaaaaayCeeeee","Show_Me15"
"63861","wergshy","fightfor15texas"
"63862","rottttten","chifightfor15"
"63863","banditelli","squidartdotcom"
"63864","DarrionSmith9","labor_against"
"63865","catlover1943","ATLRaiseUp"
"63866","donchartier","fightfor15texas"
"63867","disruptionary","fightfor15"
"63868","srbbrider","fightfor15"
"63869","emaema596","rock_west_"
"63870","FightFor15FL","fightfor15"
"63871","OGDavidGNowak","BernieCrats1"
"63872","martyseehusen1","doyle1020"
"63873","itbeginswithtch","fightfor15"
"63874","Jaccuse1","fightfor15"
"63875","AEQUITAS_Kyoto","rock_west_"
"63876","sagashogo","rock_west_"
"63877","KinslerME","squidartdotcom"
"63878","NotConnorInTheN","fightfor15"
"63879","ms_msmarshas","fightfor15"
"63880","EsmaelGonzales","fightfor15"
"63881","LADYDAY93_TJFGG","fightfor15"
"63882","Xeno_saurus","fightfor15"
"63883","rjber15","fightfor15"
"63884","UAWLocal249","standup_kc"
"63885","rjber15","RaiseUpfor15"
"63886","K810Mt","squidartdotcom"
"63887","goshortandlong","RaiseUpfor15"
"63888","MariposaConejo","RaiseUpfor15"
"63889","BioreUV1","rock_west_"
"63890","not_dem_or_rep","CindyCallinsky"
"63891","NocturnalViolet","rock_west_"
"63892","samhsarah","CindyCallinsky"
"63893","scapelliti","squidartdotcom"
"63894","ProgressiveChi","chifightfor15"
"63895","capella4wd","rock_west_"
"63896","kipwood13","BernieCrats1"
"63897","tizutyanchiz","RoseAnnDeMoro"
"63898","roaddogger","chifightfor15"
"63899","tizutyanchiz","fightfor15texas"
"63900","a_10161_os","rock_west_"
"63901","tizutyanchiz","fightfor15texas"
"63902","tizutyanchiz","FF15ChildCare"
"63903","aequitas1500","rock_west_"
"63904","tizutyanchiz","fightfor15"
"63905","tizutyanchiz","scapelliti"
"63906","tizutyanchiz","fightfor15"
"63907","tizutyanchiz","fightfor15"
"63908","tizutyanchiz","walivaara"
"63909","montyiavelli","fightfor15"
"63910","tizutyanchiz","squidartdotcom"
"63911","tizutyanchiz","fightfor15"
"63912","kami_sora_fly","Show_Me15"
"63913","tizutyanchiz","SEIULocal1"
"63914","tizutyanchiz","chifightfor15"
"63915","kami_sora_fly","rock_west_"
"63916","akeleven","BernieCrats1"
"63917","tizutyanchiz","chifightfor15"
"63918","StellaK22","ATLRaiseUp"
"63919","RachelK1967","AFSCME"
"63920","llarks","BernieCrats1"
"63921","kumada76","rock_west_"
"63922","StellaK22","RaiseUpfor15"
"63923","theheavenlyalm1","RaiseUpfor15"
"63924","tabby_red","fightfor15"
"63925","tabby_red","RoseAnnDeMoro"
"63926","susanbr42259458","AFSCME"
"63927","llarks","scapelliti"
"63928","StellaK22","RaiseUpfor15"
"63929","MelsensJohn","RobinHoodTax"
"63930","primality","RobinHoodTax"
"63931","disruptivedigit","RaiseUpfor15"
"63932","gah_ann","RaiseUpfor15"
"63933","kvnl756821","fightfor15"
"63934","joyemail88","RobinHoodTax"
"63935","drjjr500","AFSCME"
"63936","rjber15","RaiseUpfor15"
"63937","rjber15","fightfor15"
"63938","ellenskimchi","NextGenClimate"
"63939","TEAUD5","Fightfor15LA"
"63940","rjber15","RaiseUpfor15"
"63941","thecatsmeow0410","samhsarah"
"63942","Lboogie13","RaiseUpfor15"
"63943","nfabe","FastFoodForward"
"63944","HarloweRayne","fightfor15"
"63945","woosviews","RaiseUpfor15"
"63946","flugennock","rousseau_ist"
"63947","sar_oso","fightfor15"
"63948","TEAUD5","Show_Me15"
"63949","NotConnorInTheN","fightfor15"
"63950","dee4peace","fightfor15"
"63951","ncwu","RaiseUpfor15"
"63952","rjber15","RaiseUpfor15"
"63953","romeropatrick5","raisingca"
"63954","Flo60400351","RaiseUpfor15"
"63955","M87Nose","Show_Me15"
"63956","catsformede","RobinHoodTax"
"63957","ColdWarrior2000","RaiseUpfor15"
"63958","LibTee","chifightfor15"
"63959","Lboogie13","chifightfor15"
"63960","Lboogie13","Show_Me15"
"63961","rjber15","RaiseUpfor15"
"63962","Lboogie13","fightfor15"
"63963","rjber15","RobinHoodTax"
"63964","donahuejm","RobinHoodTax"
"63965","Lboogie13","chifightfor15"
"63966","Lboogie13","Show_Me15"
"63967","Flo60400351","RaiseUpfor15"
"63968","LudgerKrusenba1","fightfor15texas"
"63969","MelsensJohn","squidartdotcom"
"63970","yamatoejam","fightfor15"
"63971","vannanancy","squidartdotcom"
"63972","dihoppy","RaiseUpfor15"
"63973","gramsci1937","squidartdotcom"
"63974","iamriversong","RobinHoodTax"
"63975","RobinMCouch","RobinHoodTax"
"63976","disruptivedigit","RobinHoodTax"
"63977","clrih9","RobinHoodTax"
"63978","SOCWFeminist","squidartdotcom"
"63979","SOCWFeminist","squidartdotcom"
"63980","ericserati68","chifightfor15"
"63981","utsuke_l","Show_Me15"
"63982","ebrooks","fightfor15"
"63983","Troll_seiji2","rock_west_"
"63984","twosocks41","squidartdotcom"
"63985","lewishardy","fightfor15"
"63986","LISACORRINA","squidartdotcom"
"63987","PoliticalBee","RaiseUpfor15"
"63988","rylan7","fightfor15"
"63989","EricRomsted","RoseAnnDeMoro"
"63990","P0wer2thePe0ple","RoseAnnDeMoro"
"63991","ezra_lime","fightfor15"
"63992","eelawl1966","fightfor15"
"63993","Konducta4LFE","fightfor15"
"63994","Konducta4LFE","squidartdotcom"
"63995","netminnow","BernieCrats1"
"63996","stuartcalif","squidartdotcom"
"63997","OBeirnekids","fightfor15"
"63998","TheIllMechanism","BernieCrats1"
"63999","wavesofeuphoria","fightfor15"
"64000","oscarperezpt","fightfor15"
"64001","tin_giun","Fightfor15LA"
"64002","halfmeasurefull","chifightfor15"
"64003","KohNagao","Show_Me15"
"64004","BitcoinBuddhist","chifightfor15"
"64005","willbaileyjr","BradZarnett"
"64006","fragmen64007861","rock_west_"
"64007","mesquitepenny","BernieCrats1"
"64008","pausetheprocess","squidartdotcom"
"64009","Lorri66803314","SenWarren2020"
"64010","rock_west_","Show_Me15"
"64011","ciminera0","squidartdotcom"
"64012","Triszam","squidartdotcom"
"64013","elle_on_earth","fightfor15"
"64014","rock_west_","jwjnational"
"64015","kixxle","scapelliti"
"64016","rjber15","fightfor15"
"64017","Gremlinbroom","fightfor15"
"64018","MoveOnAustin","jwjnational"
"64019","NotConnorInTheN","fightfor15"
"64020","Xeno_saurus","fightfor15"
"64021","Pinkomomma","RaiseUpfor15"
"64022","tga_tgoodfellow","BernieCrats1"
"64023","rjber15","scapelliti"
"64024","_al_man","scapelliti"
"64025","RealJacobKang","fightfor15"
"64026","chako00012","Show_Me15"
"64027","fightfor15","scapelliti"
"64028","D4mnD","squidartdotcom"
"64029","Noratoriou5","squidartdotcom"
"64030","cholly108","fightfor15"
"64031","exposethetpp17","ATLRaiseUp"
"64032","kewlwill","squidartdotcom"
"64033","CodyTurtleson","fightfor15"
"64034","Anti_Discrimina","Show_Me15"
"64035","doodlebugdeedee","squidartdotcom"
"64036","rjber15","Show_Me15"
"64037","granisnark12","AFSCME"
"64038","kewlwill","RebootDNC"
"64039","aequitas1500","Show_Me15"
"64040","squidartdotcom","scapelliti"
"64041","HishamBharoocha","squidartdotcom"
"64042","the_newtt","squidartdotcom"
"64043","sharingjoy91","Show_Me15"
"64044","squidartdotcom","scapelliti"
"64045","hopitoulas","Show_Me15"
"64046","rjber15","squidartdotcom"
"64047","rjber15","squidartdotcom"
"64048","lidosand","xavvypls"
"64049","People4Bernie","squidartdotcom"
"64050","AmyGunthorpe","squidartdotcom"
"64051","Premascension","squidartdotcom"
"64052","share_heart","350"
"64053","MoveOnAustin","fightfor15texas"
"64054","Quandery","squidartdotcom"
"64055","JeremyCorbong","squidartdotcom"
"64056","FightFor15WI","squidartdotcom"
"64057","Fightfor15LA","squidartdotcom"
"64058","FastFoodForward","squidartdotcom"
"64059","People4Bernie","squidartdotcom"
"64060","workingclasstex","jwjnational"
"64061","LovelyLowEnd","squidartdotcom"
"64062","kathi1_va","jwjnational"
"64063","soulful_chica","fightfor15"
"64064","Linda_Fenner","RoseAnnDeMoro"
"64065","OrganizerCmw","chifightfor15"
"64066","fightfor15","squidartdotcom"
"64067","ltulch","RaiseUpfor15"
"64068","Stevie_DG","Fightfor15LA"
"64069","Stevie_DG","fightfor15texas"
"64070","MtthewRubiin","fightfor15"
"64071","711nsp","fightfor15"
"64072","JDQEntity","fightfor15"
"64073","kokeshi_me","squidartdotcom"
"64074","BunnyBear47","jwjnational"
"64075","scapelliti","squidartdotcom"
"64076","foxfire2112","squidartdotcom"
"64077","rjber15","GoodAirports"
"64078","KnightmjaKnight","fightfor15"
"64079","grannysidney","NorCalFF15"
"64080","Flybutters","RoseAnnDeMoro"
"64081","gramsci1937","GoodAirports"
"64082","HeavenlyMont","Show_Me15"
"64083","DarrionSmith9","RaiseUpfor15"
"64084","plasmavir","fightfor15"
"64085","wolfeprowler1","RoseAnnDeMoro"
"64086","inclusionist","Fightfor15LA"
"64087","burnodo","fightfor15"
"64088","plasmavir","Fightfor15LA"
"64089","plasmavir","RoseAnnDeMoro"
"64090","gracchus56","GoodAirports"
"64091","TimothyPerry8","RoseAnnDeMoro"
"64092","VillanuevaEdgar","RoseAnnDeMoro"
"64093","ColdWarrior2000","fightfor15"
"64094","rjber15","RoseAnnDeMoro"
"64095","fightfor15","RoseAnnDeMoro"
"64096","disruptivedigit","fightfor15"
"64097","fightfor15","fightfor15texas"
"64098","NotConnorInTheN","fightfor15"
"64099","fightfor15","Fightfor15LA"
"64100","rjber15","fightfor15"
"64101","almyrOH","fightfor15"
"64102","lahautj","chifightfor15"
"64103","MelsensJohn","fightfor15texas"
"64104","MelsensJohn","GoodAirports"
"64105","twilight2_0","GoodAirports"
"64106","Pinkomomma","fightfor15"
"64107","avlgal","RaiseUpfor15"
"64108","K810Mt","GoodAirports"
"64109","BeaverFmOregon","fightfor15"
"64110","donahuejm","GoodAirports"
"64111","OldSilasWebster","fightfor15"
"64112","clairhughes150","littleredblog"
"64113","populistvoice","fightfor15"
"64114","Triszam","fightfor15"
"64115","OFFTOMARS11531","fightfor15"
"64116","EnfoqueLatino","fightfor15texas"
"64117","Triszam","fightfor15texas"
"64118","RodgerClark66","fightfor15"
"64119","manaottawa","fightfor15"
"64120","manaottawa","standup_kc"
"64121","manaottawa","fightfor15"
"64122","manaottawa","FF15ChildCare"
"64123","KadeemCooper","fightfor15"
"64124","manaottawa","fightfor15texas"
"64125","manaottawa","chifightfor15"
"64126","manaottawa","chifightfor15"
"64127","dewigmore","FightFor15WI"
"64128","dewigmore","chifightfor15"
"64129","duncanbrown4","fightfor15"
"64130","jesschnei","chifightfor15"
"64131","Badgersbane","RaiseUpfor15"
"64132","Boldenashli","Show_Me15"
"64133","SteigSusan","People4Bernie"
"64134","allan_crawshaw","PascoRevolution"
"64135","dewigmore","FightFor15WI"
"64136","FedUpWNarcissts","RoseAnnDeMoro"
"64137","dewigmore","fightfor15"
"64138","gracchus56","fightfor15"
"64139","Ladyxxl","chifightfor15"
"64140","LongfellowJean","GoodAirports"
"64141","smiet_jordan","chifightfor15"
"64142","dianapereira771","ATLRaiseUp"
"64143","LaborDemocracy_","Detroit_15"
"64144","LaborDemocracy_","FastFoodForward"
"64145","msaldean","Show_Me15"
"64146","burnodo","GoodAirports"
"64147","jjmarinacci","SEIULocal1"
"64148","rjber15","fightfor15"
"64149","Ladyxxl","CihanUgural"
"64150","burnodo","FF15ChildCare"
"64151","NeinOfSeven","fightfor15"
"64152","rjber15","fightfor15"
"64153","rjber15","RobinHoodTax"
"64154","rjber15","fightfor15"
"64155","rjber15","fightfor15"
"64156","grandmaofanange","fightfor15"
"64157","simulator8","Fightfor15LA"
"64158","Stevie_DG","fightfor15"
"64159","ProgressiveChi","GoodAirports"
"64160","fightfor15","FF15ChildCare"
"64161","Channathan","GoodAirports"
"64162","simulator8","fightfor15"
"64163","fightfor15","GoodAirports"
"64164","rjber15","Fightfor15LA"
"64165","CyberBrecht","fightfor15"
"64166","joaoaliano","fightfor15"
"64167","LongfellowJean","fightfor15texas"
"64168","ProgressiveChi","SEIULocal1"
"64169","sueharrisnyc","fightfor15"
"64170","LongfellowJean","Fightfor15LA"
"64171","simulator8","fightfor15"
"64172","madeleinefguy","fightfor15texas"
"64173","VirtuallyMee","chifightfor15"
"64174","SEIULocal1","chifightfor15"
"64175","simulator8","Show_Me15"
"64176","simulator8","fightfor15texas"
"64177","NotConnorInTheN","fightfor15"
"64178","michaelk42","fightfor15"
"64179","Maryann01791151","SEIUHCMN"
"64180","richbiev","fightfor15"
"64181","HOWIFELT","RoseAnnDeMoro"
"64182","neminkov","Fightfor15LA"
"64183","xjamesx1999","fightfor15"
"64184","boysinbarrettes","fightfor15"
"64185","lasvegasfriend","fightfor15"
"64186","BLaRocca","dscharfGlobe"
"64187","seenandheard2o1","fightfor15"
"64188","burnodo","Fightfor15LA"
"64189","allthewebs","FightFor15WI"
"64190","Teapublicanways","Fightfor15LA"
"64191","FightFor15WI","fightfor15"
"64192","Fightfor15LA","fightfor15"
"64193","FastFoodForward","fightfor15"
"64194","Doorbraakeu","CihanUgural"
"64195","Doorbraakeu","chifightfor15"
"64196","Doorbraakeu","chifightfor15"
"64197","vinodgoswami21","RaiseUpfor15"
"64198","JennaLeeTV","Fightfor15LA"
"64199","JUNEKIMBARBIE","fightfor15"
"64200","ebrooks","fightfor15"
"64201","HisaysMark","fightfor15"
"64202","ArcticFox_am_I","Show_Me15"
"64203","tbqff","RaiseUpfor15"
"64204","KIdHak__","RaiseUpfor15"
"64205","grannysidney","FightFor15FL"
"64206","Cranstonsoftwar","FightFor15FL"
"64207","TheRealChato","OURWmt"
"64208","Merton_G3","Show_Me15"
"64209","lindhays","350"
"64210","DARKmom4","FightFor15FL"
"64211","GwenChiaramonte","fightfor15"
"64212","XonEarth","chifightfor15"
"64213","Obershafen","RaiseUpfor15"
"64214","exposethetpp17","fightfor15texas"
"64215","rjber15","fightfor15texas"
"64216","burnodo","fightfor15texas"
"64217","GeoFarenthold","fightfor15texas"
"64218","FightFor15FL","fightfor15texas"
"64219","XonEarth","fightfor15texas"
"64220","FightFor15WI","fightfor15texas"
"64221","Fightfor15LA","fightfor15texas"
"64222","FastFoodForward","fightfor15texas"
"64223","vinodgoswami21","ATLRaiseUp"
"64224","vinodgoswami21","fightfor15"
"64225","fightfor15mass","fightfor15texas"
"64226","vinodgoswami21","RaiseUpfor15"
"64227","ktnicoll87","People4Bernie"
"64228","It_is_NunyaDB","Show_Me15"
"64229","Lor_blueeyes","Show_Me15"
"64230","vinodgoswami21","FF15ChildCare"
"64231","freetesla11","Show_Me15"
"64232","local6ilwu","350"
"64233","EusebiaAq","SEIULocal1"
"64234","NoHoTen","AFSCME"
"64235","vinodgoswami21","chifightfor15"
"64236","BenSpielberg","Show_Me15"
"64237","vinodgoswami21","fightfor15"
"64238","vinodgoswami21","fightfor15"
"64239","LaMujerObrera","SEIULocal1"
"64240","vinodgoswami21","fightfor15"
"64241","vinodgoswami21","FightFor15FL"
"64242","vinodgoswami21","chifightfor15"
"64243","BayRidgeDems","NYWFP"
"64244","JamiaStarheart","FightFor15FL"
"64245","SavioConnects","350"
"64246","AwakePinellas","FightFor15FL"
"64247","Tampa4Justice","FightFor15FL"
"64248","ahijjawi","fightfor15"
"64249","detroitdsa","FastFoodForward"
"64250","BernieHesse1","FastFoodForward"
"64251","ahijjawi","People4Bernie"
"64252","ahijjawi","fightfor15"
"64253","MTWESTERN","chifightfor15"
"64254","TimothyPerry8","chifightfor15"
"64255","AxelrodGrace","fightfor15"
"64256","FightFor15PA","chifightfor15"
"64257","DougKJones","fightfor15"
"64258","FightFor15PA","Fightfor15LA"
"64259","15andaUnion","fightfor15"
"64260","fightfor15mass","chifightfor15"
"64261","DougKJones","GoodAirports"
"64262","ontrack0","350"
"64263","kirkconnel","FastFoodForward"
"64264","kirkconnel","Show_Me15"
"64265","gannherman","RaiseUpfor15"
"64266","kirkconnel","fightfor15"
"64267","kirkconnel","fightfor15"
"64268","gannherman","RaiseUpfor15"
"64269","Lindainred","GoodAirports"
"64270","FightFor15FL","RaiseUpfor15"
"64271","montyiavelli","chifightfor15"
"64272","OccupySD","fightfor15"
"64273","TenneyNaumer","chifightfor15"
"64274","rjber15","Fightfor15LA"
"64275","Stwallace23","chifightfor15"
"64276","rjber15","chifightfor15"
"64277","OccupySD","chifightfor15"
"64278","rjber15","chifightfor15"
"64279","burnodo","People4Bernie"
"64280","rjber15","fightfor15"
"64281","NotConnorInTheN","fightfor15"
"64282","MiskwaaWaagosh","chifightfor15"
"64283","jgirvin","AFSCME"
"64284","WorkersRule518","fightfor15"
"64285","Lindainred","fightfor15"
"64286","MarcMacaire","chifightfor15"
"64287","CbowdenL","RoseAnnDeMoro"
"64288","gacevero","AFSCME"
"64289","K810Mt","chifightfor15"
"64290","donahuejm","chifightfor15"
"64291","_rosebudzarry","fightfor15"
"64292","MzCicy","People4Bernie"
"64293","BernieArtists","People4Bernie"
"64294","Rusher247","fightfor15"
"64295","Rusher247","Fightfor15LA"
"64296","JUNEKIMBARBIE","chifightfor15"
"64297","natalivoronina9","FastFoodForward"
"64298","jacofreak123a","chifightfor15"
"64299","CEANYC","NYWFP"
"64300","KBronfenbrenner","chifightfor15"
"64301","LongfellowJean","Show_Me15"
"64302","pausetheprocess","RoseAnnDeMoro"
"64303","CharlotteB1","fightfor15"
"64304","bitginger","fightfor15"
"64305","KeyKristy","fightfor15"
"64306","urbanista01","AFSCME"
"64307","Y0Adrienn3","fightfor15"
"64308","Ha_Ha_What","fightfor15"
"64309","brokencarpenter","AFSCME"
"64310","If_Not_Us_Who_","NextGenClimate"
"64311","William4Rossana","ATLRaiseUp"
"64312","alexisquiroz","NextGenClimate"
"64313","IntuitRon","fightfor15"
"64314","LongfellowJean","fightfor15"
"64315","KathleenDesaute","fightfor15"
"64316","shipstogaza","chifightfor15"
"64317","kopcorner","GoodAirports"
"64318","SweetChigurh","NYAmNews"
"64319","LongfellowJean","chifightfor15"
"64320","fightfor15texas","fightfor15texas"
"64321","RebelJayRaye","FightFor15WI"
"64322","sarahshore","RoseAnnDeMoro"
"64323","WEHAVEAFUTURE","fightfor15"
"64324","Waukeshadems","fightfor15"
"64325","DBSenica","350"
"64326","MSeshadri_WI","fightfor15"
"64327","mldy1988","FightFor15WI"
"64328","NotConnorInTheN","fightfor15"
"64329","LongfellowJean","Fightfor15LA"
"64330","rjber15","fightfor15"
"64331","LindaKe18525","fightfor15"
"64332","dogstar7tweets","fightfor15"
"64333","PDADuval","Bernlennials"
"64334","disruptivedigit","NorCalFF15"
"64335","steph14156","NorCalFF15"
"64336","dmsjr1978","FastFoodForward"
"64337","dmsjr1978","SEIULocal1"
"64338","wheresjay","chifightfor15"
"64339","Dzhessi","jwjnational"
"64340","lilyf1","fightfor15"
"64341","XonEarth","NorCalFF15"
"64342","sweetonekim","jwjnational"
"64343","LongfellowJean","Fightfor15LA"
"64344","MarieJenkins10","350"
"64345","llcrabbe","fightfor15"
"64346","SafeSeminary","jwjnational"
"64347","jeffboswell","350"
"64348","steph14156","350"
"64349","StyggUlv","fightfor15"
"64350","millsjuiceplus3","fightfor15"
"64351","disruptivedigit","350"
"64352","newmanj12","jwjnational"
"64353","CAJillybean","350"
"64354","sc1199","Show_Me15"
"64355","mywitsbeginning","fightfor15"
"64356","sc1199","fightfor15"
"64357","crazytimes73","350"
"64358","mikelapapa13","SEIULocal1"
"64359","NoteworthyWifey","ConcrndFthrPrep"
"64360","USforFreedom","GoodAirports"
"64361","diana_msc","350"
"64362","local6ilwu","SEIULocal1"
"64363","JUNEKIMBARBIE","NorCalFF15"
"64364","CulturesResist","350"
"64365","sunnyk8quist","350"
"64366","Vredesbeweging","Show_Me15"
"64367","mugsbubs1","fightfor15"
"64368","helphumanityup","350"
"64369","MonsterMarcia","fightfor15"
"64370","rjber15","350"
"64371","BirdCommunist","fightfor15"
"64372","certusetvertus","350"
"64373","COJWJ","fightfor15"
"64374","hsecosophy","350"
"64375","LuteMarx","fightfor15"
"64376","kvnpkrwrd","350"
"64377","DesertGod","GoodAirports"
"64378","CarmanBroderick","350"
"64379","codicedarwin","350"
"64380","OlmsteadLois","350"
"64381","WorkersRule518","fightfor15"
"64382","tirpakma","350"
"64383","DatNumbaPhive","fightfor15"
"64384","rjber15","Fightfor15LA"
"64385","FrontlineCopy","350"
"64386","MiyamaeYukari","350"
"64387","KUngernyc","NYWFP"
"64388","pgrandee10","fightfor15"
"64389","Marilynborchar1","FightFor15FL"
"64390","ChrisGuinther1","Show_Me15"
"64391","JoelSlayback","SEIULocal1"
"64392","mizladyjayne","Fightfor15LA"
"64393","HollyBlomberg","RoseAnnDeMoro"
"64394","NickDesideri","SEIULocal1"
"64395","zabudeeb2","fightfor15"
"64396","SSchmoo","chifightfor15"
"64397","RyanMay301","fightfor15"
"64398","Popcornpawpads","People4Bernie"
"64399","adjordan","Fightfor15LA"
"64400","mhopson1","RaiseUpfor15"
"64401","Lindaarmentrou2","FF15ChildCare"
"64402","mgershun","standup_kc"
"64403","BarbaraAupperl4","fightfor15"
"64404","steffiec1211","Bernlennials"
"64405","TrillhouseP","15NowMN"
"64406","jpm2222","fightfor15"
"64407","Incon013","fightfor15"
"64408","nfabe","CTUL_TC"
"64409","aertwitt","fightfor15"
"64410","SucculentEvent","scapelliti"
"64411","BoricuaCaramelo","FastFoodForward"
"64412","bentonja","OccupyWallStNYC"
"64413","SabrinaSpiher","fightfor15"
"64414","IVAW","Show_Me15"
"64415","gramsci1937","SEIULocal1"
"64416","kodapeterson10","SEIULocal1"
"64417","turtlepockets","fightfor15"
"64418","_TreGraves_","fightfor15"
"64419","JulieLB","PatrioticMills"
"64420","Floetry3","SEIULocal1"
"64421","Floetry3","fightfor15"
"64422","TammyKosiancic","RoseAnnDeMoro"
"64423","MyFriendCamilo","fightfor15"
"64424","AnnaJoelleBaum","fightfor15"
"64425","AnitaStewart","RaiseUpfor15"
"64426","AnniHarpool","fightfor15"
"64427","shannonthebull","fightfor15"
"64428","csheba1","SEIULocal1"
"64429","JohnCzer1","fightfor15"
"64430","K810Mt","fightfor15"
"64431","steve78333","SEIULocal1"
"64432","burnodo","FastFoodForward"
"64433","donahuejm","fightfor15"
"64434","NotConnorInTheN","fightfor15"
"64435","rjber15","Show_Me15"
"64436","RJPate","fightfor15"
"64437","rjber15","Show_Me15"
"64438","rjber15","fightfor15"
"64439","rjber15","FF15ChildCare"
"64440","rjber15","Fightfor15LA"
"64441","rjber15","fightfor15"
"64442","SLReaves","fightfor15"
"64443","politifilo","SEIULocal1"
"64444","alisonhgoh","fightfor15"
"64445","ShakkhaEsprit","fightfor15"
"64446","jobsandfreedom_","standup_kc"
"64447","MiriamKullmann","jwjnational"
"64448","chifightfor15","SEIULocal1"
"64449","davidmccray13","littleredblog"
"64450","DWxLW","fightfor15"
"64451","FredChristian10","littleredblog"
"64452","Keltik_","fightfor15"
"64453","ItCo4Bernie","fightfor15"
"64454","rekastner","BernieCrats1"
"64455","ChudMasterr","Fightfor15LA"
"64456","TheresaSchroe14","RoseAnnDeMoro"
"64457","_theponds","fightfor15"
"64458","furiosarojas","chifightfor15"
"64459","furiosarojas","fightfor15"
"64460","mariluna329","fightfor15"
"64461","TechSupportVish","fightfor15"
"64462","XonEarth","FastFoodForward"
"64463","Triszam","fightfor15"
"64464","StevezorSC2","fightfor15"
"64465","sienna_paige","fightfor15"
"64466","FueryTown","chifightfor15"
"64467","StillBernin","PascoRevolution"
"64468","actualdeadguy","fightfor15"
"64469","dork74","ReelectBernie"
"64470","aflightybroad","fightfor15"
"64471","dlondonnyu","fightfor15"
"64472","KrustyAllslopp","fightfor15"
"64473","APEorDIE","fightfor15"
"64474","subcomandantehb","fightfor15"
"64475","StellaK22","ATLRaiseUp"
"64476","Simon_Vessey","fightfor15"
"64477","Wotansson","fightfor15"
"64478","Ross_Greer","fightfor15"
"64479","highqoo","fightfor15"
"64480","MollyPBass","fightfor15"
"64481","tiwddol","fightfor15"
"64482","IanBFAWU","ATLRaiseUp"
"64483","goshortandlong","ATLRaiseUp"
"64484","catherinebuca","fightfor15"
"64485","TheBoltUpright","BernieCrats1"
"64486","ryanhide","fightfor15"
"64487","gravytoeress","fightfor15"
"64488","schmat22","fightfor15"
"64489","FightFor15FL","fightfor15"
"64490","MichaelLevin11","fightfor15"
"64491","Peter26061980","chifightfor15"
"64492","fartkebab","fightfor15"
"64493","hammegk","BernieCrats1"
"64494","StellaK22","RaiseUpfor15"
"64495","Prankie_Pie","fightfor15"
"64496","hookerburger","fightfor15"
"64497","thetheatretech","fightfor15"
"64498","StopRtWinMO","Show_Me15"
"64499","Hanksingle","JamieEldridgeMA"
"64500","mariluna329","ReelectBernie"
"64501","DartezKathleen","BernieCrats1"
"64502","EugenePuryear","fightfor15"
"64503","JustinTyme5","fightfor15"
"64504","EvansSenri","jwjnational"
"64505","DarienFenton","jwjnational"
"64506","WpgPinko","fightfor15"
"64507","earthmom07","fightfor15"
"64508","Show_Me15","fightfor15"
"64509","DR_ILL","fightfor15"
"64510","sigeldan","fightfor15"
"64511","6205smile","fightfor15"
"64512","sharmredmayne","fightfor15"
"64513","MercurialMiss","fightfor15"
"64514","Detroit_15","fightfor15"
"64515","XonEarth","ATLRaiseUp"
"64516","2shotsofbleach","fightfor15"
"64517","MA_Senate","JamieEldridgeMA"
"64518","Snevets_Yaj","fightfor15"
"64519","its_me_brisa","fightfor15"
"64520","big_tom13","fightfor15"
"64521","Triszam","FF15ChildCare"
"64522","fightfor15texas","fightfor15"
"64523","People4Bernie","fightfor15"
"64524","ATLRaiseUp","fightfor15"
"64525","FightFor15WI","fightfor15"
"64526","Fightfor15LA","fightfor15"
"64527","banditelli","fightfor15"
"64528","RaiseUpfor15","fightfor15"
"64529","XonEarth","NorCalFF15"
"64530","FastFoodForward","fightfor15"
"64531","chifightfor15","fightfor15"
"64532","judysix6","Marc_Perrone"
"64533","Brother_Omega","fightfor15"
"64534","BewareTheBeliev","littleredblog"
"64535","poohsbrana","RaiseUpfor15"
"64536","burnodo","fightfor15"
"64537","_calebfiles","fightfor15"
"64538","DlithooHas","Fightfor15LA"
"64539","gracchus56","fightfor15"
"64540","antisocialista","fightfor15"
"64541","CelinaMontgome1","Fightfor15LA"
"64542","Konducta4LFE","People4Bernie"
"64543","PLANevada","fightfor15"
"64544","EMFink_NC","Detroit_15"
"64545","mmontano81","fightfor15"
"64546","LindaKe18525","fightfor15"
"64547","NotConnorInTheN","fightfor15"
"64548","nyhcmaven84","fightfor15"
"64549","fabricedelamort","fightfor15"
"64550","linrizzle","fightfor15"
"64551","DReaDPiRaTe9","fightfor15"
"64552","owlyowlnow","fightfor15"
"64553","LaborNerd","fightfor15"
"64554","hollypolisci","RoseAnnDeMoro"
"64555","twilight2_0","chifightfor15"
"64556","bdlimm","NYWFP"
"64557","doug_fresco","People4Bernie"
"64558","JessKerr16","People4Bernie"
"64559","dmsjr1978","GoodAirports"
"64560","johnfurmanutica","NYWFP"
"64561","sheshopschicago","chifightfor15"
"64562","KevinQBrady","NYWFP"
"64563","earthmom07","xavvypls"
"64564","Bernie_Facts","Detroit_15"
"64565","hspaulds","fightfor15"
"64566","Bernie_Facts","fightfor15"
"64567","753d03f8a790460","chifightfor15"
"64568","umSoWutDntCare","People4Bernie"
"64569","burnodo","FastFoodForward"
"64570","I_miss_Bernie","People4Bernie"
"64571","mammo49","BernieCrats1"
"64572","SC4Sanders","People4Bernie"
"64573","kruemelfinder","People4Bernie"
"64574","CihanUgural","chifightfor15"
"64575","prognewssource","prognewssource"
"64576","gramsci1937","RaiseUpfor15"
"64577","_Lukeamartin","People4Bernie"
