"","screenName","retweetCount","text","duplicated","Type"
"82","TheNewThinker",142,"15 and a union!!! New Orleans #Fightfor15 https://t.co/YYhzt3gwcQ",FALSE,"5"
"83","NCFaculty",139,"Happening now: Rev Barber getting arrested alongside faculty and grad workers for $15 and a union! #Fightfor15 https://t.co/qgvHMkiSLt",FALSE,"1"
"84","FightFor15FL",139,"Good Morning! 

Tampa Bay is on STRIKE! 

#Fightfor15 https://t.co/AwNS8a88cg",FALSE,"6"
"85","Tim_Canova",132,"Joined with airport, fast food &amp; child care workers for #FightFor15 action at Ft. Lauderdale airport &amp; similar acti… https://t.co/MojuagEBWB",FALSE,"5"
"86","RaiseUpfor15",132,"Face to face with riot police in Durham, NC but we won't back down. We stand on the shoulders of the Civil Rights M… https://t.co/iIUoREOc7O",FALSE,"6"
"87","Complex",132,"Thousands of workers across the country strike for $15 minimum wage: https://t.co/Zk2QM5Snog

#FightFor15 https://t.co/H68OXbqjpH",FALSE,"3"
"88","figue32bj",130,"We won't back down! Best is yet to come if we have organization &amp; the courage to fight until we ALL win! #Fightfor15 https://t.co/wdMJl2unCr",FALSE,"4"
"89","chifightfor15",129,"Today we also stood in #solidarity with #NoDAPL because $15 is nothing without water ������#Fightfor15 https://t.co/H9GuLvkTad",FALSE,"6"
"90","Marc_Perrone",127,"Time to Go #OldSchool,

Sisters &amp; Brothers...

������

#WednesdayWisdom #1u #FightFor15 #RaiseTheWage https://t.co/lc6z1y0MNE",FALSE,"1"
"91","Fightfor15LA",126,"These are the workers who took arrest. Many more couldn't take the risk. We'll continue to do whatever it takes to… https://t.co/DUcb4WUZhZ",FALSE,"6"
"92","BenSpielberg",126,"Today's the day that workers in the #FightFor15 will be striking around the country. Why they deserve your support: https://t.co/7ereEuY1F4",FALSE,"4"
"93","caroljsroth",125,"Be careful what you wish for... #Fightfor15 https://t.co/AS0EiuajEJ",FALSE,"5"
"94","SenSherrodBrown",124,"Standing with all workers today as they #Fightfor15 on @SEIU Day of Action. Our workers deserve a raise, a living wage, and a union.",FALSE,"2"
