Source,Target,Type,id,label,timeset,weight
fightfor15,jasiri_x,Directed,26731,,,1.0
FF15ChildCare,SenWarren,Directed,27110,,,1.0
fightfor15,TomSteyer,Directed,27201,,,1.0
fightfor15,sierraclub,Directed,27264,,,2.0
fightfor15,FightFor15PA,Directed,27596,,,5.0
FF15ChildCare,seiufl,Directed,28491,,,1.0
fightfor15,1alyssakang,Directed,28533,,,1.0
fightfor15,EconomicPolicy,Directed,28538,,,2.0
aMustReid,chifightfor15,Directed,28579,,,1.0
aMustReid,GoodAirports,Directed,28604,,,1.0
Show_Me15,CaliforniaLabor,Directed,28633,,,1.0
jasiri_x,PghUNITED,Directed,28737,,,1.0
32BJSEIU,AFSCME,Directed,28887,,,1.0
fightfor15,CaliforniaLabor,Directed,29097,,,1.0
OurPoliticalRev,CaliforniaLabor,Directed,29166,,,1.0
RaiseUpMA,SenWarren,Directed,29312,,,1.0
smugjitsu,TheNewThinker,Directed,29318,,,1.0
afarnitano,SenWarren,Directed,29377,,,1.0
afarnitano,fightfor15,Directed,29394,,,3.0
GoodAirports,32BJSEIU,Directed,29514,,,14.0
People4Bernie,CaliforniaLabor,Directed,29595,,,1.0
SEIULocal1,chifightfor15,Directed,29596,,,7.0
aequitas1500,CaliforniaLabor,Directed,29617,,,1.0
afarnitano,32BJSEIU,Directed,29632,,,5.0
GoodAirports,NorCalFF15,Directed,29655,,,1.0
OurRevolution2,chifightfor15,Directed,29772,,,1.0
FastFoodForward,NBCNews,Directed,29803,,,1.0
MaryKayHenry,32BJSEIU,Directed,29875,,,3.0
MaryKayHenry,chifightfor15,Directed,29879,,,4.0
fightfor15,NBCNews,Directed,29926,,,1.0
afarnitano,fightfor15mass,Directed,30151,,,10.0
fightfor15,AFSCME,Directed,30187,,,3.0
NorCalFF15,masseydaniel,Directed,30262,,,1.0
DerenicByrd,zachhaller,Directed,30288,,,1.0
DerenicByrd,SenWarren,Directed,30302,,,1.0
RaiseUpMA,32BJSEIU,Directed,30350,,,2.0
Demos_Org,Fightfor15LA,Directed,30943,,,1.0
SEIU,chifightfor15,Directed,30978,,,5.0
GoodAirports,fightfor15texas,Directed,31101,,,1.0
fightfor15,SenWarren,Directed,31482,,,1.0
CWAUnion,SenSherrodBrown,Directed,31752,,,1.0
SEIU,32BJSEIU,Directed,31958,,,9.0
FastFoodForward,FastFoodForward,Directed,32146,,,1.0
15andaUnion,fightfor15mass,Directed,32543,,,2.0
AFLCIO,chifightfor15,Directed,32711,,,3.0
fightfor15,democracynow,Directed,32945,,,1.0
fightfor15texas,fightfor15mass,Directed,32956,,,1.0
jwjnational,AFSCME,Directed,32969,,,1.0
OurPoliticalRev,NorCalFF15,Directed,33137,,,1.0
RaiseUpMA,fightfor15mass,Directed,33341,,,6.0
fightfor15,fightfor15mass,Directed,33703,,,7.0
CaliforniaLabor,Fightfor15LA,Directed,33731,,,2.0
NorCalFF15,chifightfor15,Directed,33936,,,2.0
Fightfor15LA,chifightfor15,Directed,33937,,,2.0
OurPoliticalRev,Fightfor15LA,Directed,34310,,,1.0
figue32bj,chifightfor15,Directed,34354,,,1.0
figue32bj,GoodAirports,Directed,34391,,,1.0
fightfor15,32BJSEIU,Directed,34639,,,5.0
FF15ChildCare,chifightfor15,Directed,34703,,,1.0
PCsBeard,scrowder,Directed,34767,,,1.0
FightFor15FL,MarkRuffalo,Directed,34846,,,1.0
BenSpielberg,RoseAnnDeMoro,Directed,34854,,,1.0
SEIU,SEIULouisiana,Directed,35075,,,1.0
SEIU,SEIULocal1,Directed,35133,,,1.0
SEIU,GoodAirports,Directed,35163,,,4.0
GoodAirports,seiufl,Directed,35200,,,1.0
SEIU,seiufl,Directed,35243,,,2.0
scapelliti,FightFor15,Directed,35715,,,1.0
jwjnational,32BJSEIU,Directed,35799,,,2.0
standup_kc,FightFor15PA,Directed,35865,,,1.0
GoodAirports,SEIULocal1,Directed,35887,,,3.0
GoodAirports,AriseChicago,Directed,35918,,,1.0
AFLCIO,SenSherrodBrown,Directed,35931,,,1.0
