id,label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum
MicheleRegis,MicheleRegis,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22987
chris_given,chris_given,,0,2,2,0.0,2.0,2.0,15.0,0.17620884010679325,0.20845780669013056,0.0,0,0,22988
mgcat,mgcat,,0,1,1,0.0,1.0,1.0,2.0,0.6666666666666666,0.75,0.0,17,0,22989
DemSpring,DemSpring,,0,7,7,0.0,8.0,8.0,13.0,0.25202213707960835,0.33350312412812444,0.0,0,0,22990
libernty,libernty,,0,1,1,0.0,1.0,1.0,13.0,0.1195959595959596,0.13406825438075512,0.0,17,0,22991
Dee_Cutest,Dee_Cutest,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22992
Jjerg,Jjerg,,0,2,2,0.0,2.0,2.0,14.0,0.20735551663747812,0.2537901475401469,0.0,0,0,22993
tophwater,tophwater,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,318,312,22995
takeyourmeads,takeyourmeads,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,318,312,22994
Kbaxter64,Kbaxter64,,0,1,1,0.0,1.0,1.0,2.0,0.5454545454545454,0.5833333333333334,0.0,17,0,22996
KellyBabyDaddy,KellyBabyDaddy,,0,1,1,0.0,1.0,1.0,2.0,0.6666666666666666,0.75,0.0,0,0,22997
whitewinery,whitewinery,,0,1,1,0.0,1.0,1.0,2.0,0.6666666666666666,0.75,0.0,17,0,22998
calawayczc,calawayczc,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,22999
jumper705,jumper705,,0,1,1,0.0,1.0,1.0,13.0,0.1195959595959596,0.13406825438075512,0.0,17,0,23000
julesku,julesku,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23001
BadPoliticianss,BadPoliticianss,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,23002
phernelia,phernelia,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23003
samona_simon,samona_simon,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23004
UnitedCitizen01,UnitedCitizen01,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,23005
JAJCNQ,JAJCNQ,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23006
Bobertt_,Bobertt_,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23007
AliciaEtler,AliciaEtler,,0,1,1,0.0,1.0,1.0,14.0,0.2089657606777268,0.2558091308091301,0.0,0,0,23008
CLH330,CLH330,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23009
buildpowernow,buildpowernow,,0,1,1,0.0,1.0,1.0,14.0,0.20750087627059235,0.25417222604722534,0.0,0,0,23010
NHSCleveland,NHSCleveland,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23011
mrjoelkeith,mrjoelkeith,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1500
aminawant,aminawant,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23012
dead_christmas,dead_christmas,,0,2,2,0.0,4.0,4.0,1.0,1.0,1.0,0.0,0,0,23013
tatianacastil27,tatianacastil27,,0,1,1,0.0,3.0,3.0,1.0,1.0,1.0,0.0,59,59,23014
brycechiodo,brycechiodo,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23015
w8ed2bme,w8ed2bme,,0,2,2,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0,0,23016
captahad,captahad,,0,1,1,0.0,1.0,1.0,14.0,0.20750087627059235,0.25417222604722534,0.0,0,0,23017
lylainthecity,lylainthecity,,0,2,2,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0,0,23018
UnicoSou,UnicoSou,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23019
DianaMarion4,DianaMarion4,,0,1,1,0.0,3.0,3.0,1.0,1.0,1.0,0.0,17,0,23020
B_Maine207,B_Maine207,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23021
annie_amountain,annie_amountain,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,319,313,23023
Hardline_Stance,Hardline_Stance,,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,319,313,23022
kerryo81,kerryo81,,0,3,3,0.0,3.0,3.0,13.0,0.21974758723088345,0.26270196582696576,0.0,0,0,23024
letsplaythisbro,letsplaythisbro,,0,1,1,0.0,1.0,1.0,14.0,0.2089657606777268,0.2558091308091301,0.0,0,0,23025
_AyoBEY,_AyoBEY,,0,1,1,0.0,1.0,1.0,14.0,0.20315717227179136,0.24450362887862817,0.0,0,0,23026
fiona_horrigan,fiona_horrigan,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23027
ragingfoodlady,ragingfoodlady,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23028
ArcaneSkin,ArcaneSkin,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23029
iyamiyam,iyamiyam,,0,1,1,0.0,1.0,1.0,14.0,0.2089657606777268,0.2558091308091301,0.0,0,0,23030
feryalkamiIya,feryalkamiIya,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23031
catrpilrgirl,catrpilrgirl,,0,2,2,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0,0,23032
jamesejamesdc,jamesejamesdc,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,23033
mtnez_1996,mtnez_1996,,0,1,1,0.0,3.0,3.0,1.0,1.0,1.0,0.0,59,59,23034
millennialmush,millennialmush,,0,1,1,0.0,1.0,1.0,2.0,0.6666666666666666,0.75,0.0,17,0,23035
Jpofgwynedd,Jpofgwynedd,,0,1,1,0.0,1.0,1.0,14.0,0.20750087627059235,0.25417222604722534,0.0,0,0,23036
mike_cormier,mike_cormier,,0,1,1,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0,0,23037
mkalinen,mkalinen,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23038
1812x,1812x,,1,6,7,1.0,7.0,8.0,13.0,0.24936921783010935,0.32805836659125054,67.75000000000001,0,0,1499
Rdr48,Rdr48,,0,1,1,0.0,3.0,3.0,14.0,0.20060996272450016,0.2387523418773415,0.0,0,0,23039
ceci11e,ceci11e,,0,4,4,0.0,4.0,4.0,13.0,0.24790619765494137,0.32483999671499697,0.0,0,0,23040
riverdaughter,riverdaughter,,0,1,1,0.0,1.0,1.0,3.0,0.5,0.611111111111111,0.0,0,0,23041
nighb,nighb,,0,1,1,0.0,1.0,1.0,14.0,0.1976627712854758,0.23528146028145988,0.0,0,0,23042
nicsigni,nicsigni,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23043
MikeStaresinic,MikeStaresinic,,0,1,1,0.0,1.0,1.0,3.0,0.5,0.611111111111111,0.0,0,0,23044
AMWolfinger,AMWolfinger,,0,1,1,0.0,1.0,1.0,13.0,0.24594931449937682,0.31957535707535734,0.0,0,0,23045
badtimeforbonz0,badtimeforbonz0,,0,1,1,0.0,1.0,1.0,2.0,0.5454545454545454,0.5833333333333334,0.0,17,0,23046
ZWhitesel,ZWhitesel,,0,4,4,0.0,4.0,4.0,2.0,0.75,0.8333333333333334,0.0,17,0,23048
_RajPatel,_RajPatel,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,23049
mcscrubbins,mcscrubbins,,0,1,1,0.0,1.0,1.0,2.0,0.6666666666666666,0.75,0.0,17,0,23050
Jaxon_Dillinger,Jaxon_Dillinger,,0,1,1,0.0,1.0,1.0,14.0,0.20750087627059235,0.25417222604722534,0.0,0,0,23051
BenoitPlaneload,BenoitPlaneload,,0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,17,0,23052
hlchilders,hlchilders,,0,1,1,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0,0,23053
